County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,EBT/SNAP,Latitude,Longitude,Location Points
Albany,Altamont Farmers' Market,Altamont Free Library 181 Main St.,181 Main Street,Altamont,NY,12009,Linda Cure,5184563150,,Thu - Tue 11am-6pm Sat/Sun 10am-2pm,July 1 - September 1,M,Y,N,42.70149,-74.03254,"(42.70149, -74.03254)"
Albany,Capital District Farmers' Market,Pavillion at 381 BroadwayMenands,381 Broadway,Menands,NY,12204,Al Lansing,5184640889,,Saturday  9am-1pm,May 3 - October 25,P/M,Y,Y,42.69621,-73.72001,"(42.69621, -73.72001)"
Albany,CDCG Veggie Mobile - Friday,"South Mall Towers 101 S. Pearl St., Albany",101 South Pearl Street,Albany,NY,12207,EJ Krans,5182748685,http://www.cdcg.org,Fri 11am-12:15pm,Year-round,YR,Y,Y,42.6465,-73.75482,"(42.6465, -73.75482)"
Albany,CDCG Veggie Mobile - Saturday,"Steamboat Square Apartments20 Rensselaer St., Albany",20 Rensselaer Street,Albany,NY,12202,EJ Krans,5182748685,http://www.cdcg.org,Sat 1:15pm-2pm,Year-round,YR,Y,Y,42.64093,-73.75363,"(42.64093, -73.75363)"
Albany,CDCG Veggie Mobile - Saturday,"Arbor Hill/West HillsHenry Johnson Blvd & 2nd St., Albany",Henry Johnson Boulevard and 2nd Street,Albany,NY,12210,EJ Krans,5182748685,http://www.cdcg.org,Sat 12:15pm-1pm,Year-round,YR,Y,Y,42.66226,-73.76013,"(42.66226, -73.76013)"
Albany,CDCG Veggie Mobile - Thursday,"St. Sophia's Church440 Whitehall Rd., Albany",440 Whitehall Road,Albany,NY,12208,EJ Krans,5182748685,http://www.cdcg.org,Thu 12:30pm-1:30pm,Year-round,YR,Y,Y,42.65197,-73.81477,"(42.65197, -73.81477)"
Albany,CDCG Veggie Mobile - Tuesday,"Howe LibrarySchuyler & Broad St., Albany",Schuyler St and Broad Street,Albany,NY,12202,EJ Krans,5182748685,http://www.cdcg.org,Tue 3pm-3:45pm,Year-round,YR,Y,Y,42.64112,-73.75802,"(42.64112, -73.75802)"
Albany,CDCG Veggie Mobile - Tuesday,"Koinonia Primary Care533 Clinton Ave. at N. Lake, Albany",533 Clinton Avenue,Albany,NY,12206,EJ Krans,5182748685,http://www.cdcg.org,Tue 2pm-2:45pm,Year-round,YR,Y,Y,42.66508,-73.76804,"(42.66508, -73.76804)"
Albany,CDCG Veggie Mobile - Tuesday,"Ida Yarbrough270 N. Pearl Street, Albany",270 North Pearl Street,Albany,NY,12207,EJ Krans,5182748685,http://www.cdcg.org,Tue 12:15pm-1:00pm,Year-round,YR,Y,Y,42.65916,-73.74875,"(42.65916, -73.74875)"
Albany,CDCG Veggie Mobile - Tuesday,"Whitney Young Health Ctr920 Lark Drive, Albany",920 Lark Drive,Albany,NY,12210,EJ Krans,5182748685,http://www.cdcg.org,Tue 11am-12 Noon,Year-round,YR,Y,Y,42.66215,-73.74859,"(42.66215, -73.74859)"
Albany,CDCG Veggie Mobile - Wednesday,"North Albany YMCA616 N. Pearl St., Albany",616 North Pearl Street,Albany,NY,12204,EJ Krans,5182748685,http://www.cdcg.org,Wed 4:45pm-5:45pm,Year-round,YR,Y,Y,42.67368,-73.73953,"(42.67368, -73.73953)"
Albany,CDCG Veggie Mobile - Wednesday,"Thurlow Terrace2 Thurlow Terrace, Albany",2 Thurlow Terrace,Albany,NY,12203,EJ Krans,5182748685,http://www.cdcg.org,Wed 12 Noon-1pm,Year-round,YR,Y,Y,42.66032,-73.77248,"(42.66032, -73.77248)"
Albany,CDCG Veggie Mobile - Wednesday,"Cohoes Senior Center100 Cayuga Plaza, Cohoes",100 Cayuga Plaza,Cohoes,NY,12047,EJ Krans,5182748685,http://www.cdcg.org,Wed 3pm-4pm,Year-round,YR,Y,Y,42.77712,-73.70101,"(42.77712, -73.70101)"
Albany,CDPHP Farmers' Market,"CDPHP prkg lot, off Washington Ave. 500 Patroon Creek Blvd., Albany",500 Patroon Creek Bvld.,Albany,NY,12206,Tom Gallagher,5187653500,http://www.cdphp.com,Thursday  11am-1:30pm,May 29 - October 2,P/M,Y,N,42.68485,-73.80513,"(42.68485, -73.80513)"
Albany,Cohoes Farmers' Market,Remsen St. btwn Ontario & Oneida Sts.,185 Remsen St,Cohoes,NY,12047,Amanda Kenton,5182332119,http://www.cohoesfarmersmarket.com,Friday  4pm-7pm,June 13 - October 3,M,Y,Y,42.77161,-73.70068,"(42.77161, -73.70068)"
Albany,Colonie Crossings Farmers' Market,580 Albany Shaker Rd. Loudonville,580 Albany Shaker Rd,Colonie,NY,12211,Alicia Osur,5187832760,http://www.colonie.org,Saturday  9am-1pm,May 17 - September 13,P/M,Y,N,42.71016,-73.78029,"(42.71016, -73.78029)"
Albany,Delmar Farmers' Market,Bethlehem Central Middle School332 Kenwood Avenue,332 Kenwood Avenue,Delmar,NY,12054,Paul Tick,5182104727,http://www.delmarmarket.org,Saturday 9am - 1pm,May 31 - December 20,P/M/X,Y,N,42.61953,-73.82515,"(42.61953, -73.82515)"
Albany,Downtown Albany Farmers' Market,SUNY Plaza,SUNY Administration Plaza Park,Albany,NY,12207,Frank Stanton,5187568228,,Thursday  11am-2pm,May - October,P/M,Y,Y,42.64807,-73.75018,"(42.64807, -73.75018)"
Albany,Empire State Plaza Farmers' Market,Empire State Plaza,170 State St,Albany,NY,12210,Jason Rumpf,5184732982,http://www.empirestateplaza.org,"Wednesday  10am-2pmFriday 10am-2pm, May-Oct",Year-round,YR,Y,Y,42.65093,-73.75709,"(42.65093, -73.75709)"
Albany,Empire State Plaza WINTER Farmers' Market,"South Concourse, IndoorEmpire State Plaza",Empire State Plaza,Albany,NY,12210,Jason Rumpf,5184732982,http://www.empirestateplaza.org,"Wednesday 10am - 2pmTuesday Nov 26, week of Thanksgiving",October 30 - April 30,M/W/P,N,N,42.64994,-73.76089,"(42.64994, -73.76089)"
Albany,Farm to Preschool III Farmers' Market,Cohoes Community Center22-40 Remsen St.,22-40 Remsen Street,Cohoes,NY,12047,Darlene Yule,5184267181,http://www.facebook.com/Farm2Preschool,Monday 2:30pm-5:30pm,June 16 - September 15,M,Y,Y,42.7756,-73.70149,"(42.7756, -73.70149)"
Albany,First United Methodist Church Farmers' Market,"Church Parking Lot 428 Kenwood Ave., Delmar",428 Kenwood Ave,Delmar,NY,12054,Annette Van Auken,5187322991,,Tuesday  2:30pm-6pm,April 29 - November 25,P/M,Y,N,42.62265,-73.83631,"(42.62265, -73.83631)"
Albany,Harriman State Campus Farmers' Market,"Harriman State Office Campusbehind Bldg. 8A, Albany",1220 Washington Ave,Albany,NY,12203,Jason Rumpf,5184732982,http://www.empirestateplaza.org,Thursday  10am-2pm,May 8 - October 9,P/M,Y,N,42.68035,-73.81041,"(42.68035, -73.81041)"
Albany,Voorheesville Farmers' Market,First United Methodist lot 68 Maple Ave.,68 Maple Ave,Voorheesville,NY,12186,Dianne Luci,5187654536,,Wed  3:30pm - 6:30pm,June 18 - October 1,M,Y,N,42.64892,-73.92991,"(42.64892, -73.92991)"
Allegany,Angelica Farmers' Market,Park Circle,28 Park Cir,Angelica,NY,14709,Bob Jones,5854667422,,Saturday  9am-1pm,June 14 - September 27,M,Y,N,42.30553,-78.01631,"(42.30553, -78.01631)"
Allegany,Belmont Farmers' Market,"Grange Hall Lawn 32 Willets Ave, Rt 19",32 Willets Ave,Belmont,NY,14813,Phyllis Couture,7169423710,,Thursday  11am-5pm,May 22 - October 30,P/M,Y,Y,42.22613,-78.03994,"(42.22613, -78.03994)"
